投稿日,曲名,ニコニコ,YouTube,出演者,イラスト,本家様,本家制作,今見れる？,備考
2008/02/15,撲殺天使ソウゴちゃん,nico.ms/sm2333687,－,うらた（沖田総悟）,－,nico.ms/sm2291921,かば,‪✕‬,替え歌・声真似。投稿日は前後に投稿された動画のIDが同日だったためそこから
2008/02/24,裏組曲,nico.ms/sm2425320,－,うらた,－,nico.ms/sm1071936,峅井はで,‪✕‬,タイトルは「裏の裏の裏をかいて裏組曲を歌ってみた」投稿日は前後に投稿された動画のIDが同日だったためそこから
2008/03/06,裏組曲,nico.ms/sm2527096,－,うらた,－,nico.ms/sm1071936,峅井はで,‪✕‬,タイトルは「裏の裏をかいて裏組曲歌ってみた」投稿日は前後に投稿された動画のIDが同日だったためそこから
2008/03/15,そごぴったん,nico.ms/sm2653914,－,うらた,－,不明,不明,‪✕‬,検索かけても本家分からない。投稿日は前後に投稿された動画のIDが同日だったためそこから
2008/03/19,裏組曲,nico.ms/sm2700300,－,うらた・庶務2,－,nico.ms/sm1071936,峅井はで,〇,
2008/03/19,うらのうら音楽祭,nico.ms/sm2703894,－,うらた・庶務2,－,nico.ms/sm1129154,くちばし,〇,
2008/04/08,撲殺天使ソウゴちゃん,nico.ms/sm2934164,－,うらた,－,nico.ms/sm2291921,かば,‪✕‬,替え歌。“歌ってみた2”表記。投稿日は前後に投稿された動画のIDが同日だったためそこから
2008/04/30,"ニコニコ動画物語,wav",nico.ms/sm3151201,－,うらた,－,nico.ms/sm1089391,しも,‪✕‬,投稿日は前後に投稿された動画のIDが同日だったためそこから
2008/05/23,羊でおやすみシリーズ,nico.ms/sm3406522,－,うらた（沖田総悟）,－,https://www.honeybee-cd.com/hituji_top.html,honeybee,‪✕‬,歌ってみたではないだろうし本家これでいいのかも分からないけどいいよね。投稿日は前後に投稿された動画のIDが同日だったためそこから
2008/06/08,くらいまっくす・でんぉぅ,nico.ms/sm3588655,－,うらた,－,nico.ms/sm1796647,nnaaaa,‪✕‬,“えれくとりっく・えんじぇぅ”の替え歌。タイトルにある「一人5役」って何？投稿日は前後に投稿された動画のIDが同日だったためそこから
2008/07/05,真選組動乱編,nico.ms/sm3864786,－,うらた,－,nico.ms/sm2687665,水晶,‪✕‬,投稿日は前後に投稿された動画のIDが同日だったためそこから
